review_description,rating
تطبيق سيئ جدا مش شغال في بعض الاماكن لازم تكون من منطقة معينة عشان يحمل معاك ويشتغل,negative
من أسوء التطبيقات فعلاً تندم على تنزيله سيء للغايه وغير صادق.,negative
👍👏,positive
هلا هلا,negative
ugg,positive
انا اتكلم عن طلبات اللي في مدينة العين .. الصراحه الخدمة ممتازه سريعين في التوصيل,positive
مرحبا,positive
كثير العلانات على فاضي طورو حالكم,negative
زي الزفت ولو فيه أقل من نجمة كمان يبقي احسن واسعارة اووووووووووووفر جدا دا خراب بيوت,negative
فاشل ٣ ساعات مهمل طلبي بحجه ان المطعم زحمه ولمه رحت المطعم الوضع طبيعي وطلبات ماشيه,negative
دة .........ئ ..؟............ ؟. . ؟؟. . . . .. . .. . . .. ... ...... ...... .. . .ةةةة. .ة؟.ىى؟.,positive
ما بعرف ليش كل الناس بتحتاج هيك تطبيق سيه جدا بصراحه الاكل بارد وكل شي ناقص وبس يكون في غلط منهم الحل بدو اسبوع لا يتعالج,negative
كان من أفضل التطبيقات لدي ولكن للأسف الأخطاء كثرت زعلان على تطبيق طلبات إلى ماوصل إليه,negative
أنا حزين جدا بسبب الذي حصل اليوم أوردران يرجعو في نفس اليوم ومكالمات كاذبة,negative
مشاللة علي الططبيق بس انتو مو عرفيلو,positive
افضل تطبيق وانصح تنزلونه,positive
😍✨,positive
تجربة سيئة وعروض الخصومات وهمية ولم تطبق معى سوى مرة رغم ان العرض ٣ اوردرات ومسئولي التطبيق لا يجدون اي حا,negative
مع الشعب رائع حلو,positive
تطبيق سئ 1-الاسعار اغلي بكثير من اسعار المطاعم بنسبة تتعدي ال25% وهذا كثير جدا برغم اخد سعر التوصيل يعني لو طلبت من المطعم هيبقي افضل 2-الكوبونات غير حقيقية بنسبة 95% 3-التوصيل بطئ جدا 4-خدنة العملاء أسوأ شئ في التطبيق,negative
والله حرام عليكم كدة طلب اودرار مارت عبارة عن فرخه وزن 1000/1100والاخر بعتولى دبابيس الدجاج متباله وريحتها وحشى جدا ومنتهى الصلاحيه وكلمت خدمه العملاء بيقولى أن الاوردار وصلى صح ومفيش فى اى مشكله قولتلها طيب ابعت خد الاوردار تانى وشوف انت الصح اللى فى بيقولى هو دة اللى مواضح امامى وانت اللبس الاوردار بجد حسبى الله ونعم الوكيل فيكم على مهزله اللى بتحصل دى والله والله الاوردار وصلى غلط ومش عارف اثبتلهم ازى وبعتلهم الصور الاوردار مش معترفين بيها,negative
تطبيق بطيء ولايعمل,negative
التطبيق جيد جدا بس بقاله فتره بيتأخر فى وقت التوصيل,positive
مافيش إشارة برسالة الطيار ياريت وده شيء سيئ جدًا 👎,negative
بقي سئ جدا جدا .كنت بتعامل مع الاب من سنين . وكان كويس بس حاليا بقيتوا بالحرف وحشييين جدا وكل شويه كود خصم بيجي فين وفين . وحتي لما يستخدمه تبعتوا اي حجه عشان الخصم ميشتغلش واضطر اطلب من غير الخصم . انا مسحت الاب واي حد قولتله ينزله هنصحه انه يمسحه بردو .خساره كنتوا كويسيين جدا فالاول بس للاسف تقريبا مفيش حاجه بتفضل علي حالها . اسوا تجربه مريت بيها سواء في قله الذوق او غيره ومنصحش حد انه يستخدمه,negative
سيئ وكل ماله يصير اسوئ وتوصيل غير منتظم وأنصحكم تحطون الدفع كاش عشان اذا تاخر الطلب كنسلو لان حقكم بيضيع والابلكيشن ما يعطيكم اي تعويض,negative
تاعغههطكغع,positive
تم الغاء طلبي بدون اي اشعار,negative
"صار استغلال رسمي، اسعار توصيل عالية، وغير عن هيك بزيد عسعر الوجبة الاصلي للاسفة اصبح سيئ جدا",negative
"قءىقءء٣خغءسص٢٣_€/'٣،ب١ص٢ص",neutral
تجربه فاشله جدا جدا ما بحلو المشكله و كل مره المطعم و الكابتن بغلطو نفس الغلط و ما بتخلص الهمجيه عندهم بدهم يطعمو الناس على كيفهو شي بخزي,negative
جميل,positive
التطبيق للأسف اصبح سيء 💔 واسعارهم اعلى من اسعار المحلات مع زيادة الضريبة ورسوم الخدمة ع الفاتورة,negative
سئ,negative
😂هههههههههههههههههههه ه ههههههههههههههههههه,positive
الأمر صار غريب أكثر من مرة بطلع أنه الطلب مرفوض Unable to validate,neutral
برنامج تافه وسيء,negative
ممكن اعرف موضوع ال 30درهم,positive
.تطبيق فاشل بكل معنى الكلمة يأتيني اشعار لقسيمة ثم افتح طلبات أجدها غير موجودة!! ويوجد مشاكل في الطلب من تأخر في الوقت و و ...... بعد التجربة لا أنصح بتحميله,negative
لماذا لا يقبل التثبيت,negative
طلبات,positive
سيئ جدآ تم خصم من البطاقه 100 دينار ولم استلم شيئ,negative
تطبيق على كيفه يلغي الطلبات. صاير فاشل👎👎👎,negative
Good,positive
الموظفين لايردو على استفسارات,negative
انا كنت بدفع بفيزا ميزه بنك الاهلي عادي بعد التحديث لا يمكن الدفع بكارت الميزه حاليا كان كل التعامل بكارت عادي مفيش مشكله,negative
خرا,negative
افضل برنامج توصل,positive
اسعار غاليه ولا انصح به,negative
"سيء جدا، لايتم الرد على الشكوى الابوقت متأخر جدا، كان البرنامج قبل أفضل الآن التفاعل عن الزبون والاهتمام إليه وشكواه لم تعد اولويه عند مشغلي البرنامج.",negative
شكرا إلكم,positive
👌👌 برفكت,positive
افشل ديليفري في عُمان,negative
خائب لا يضم مطاعم مهمة وأسعار مرتفعة,negative
التطبيق جميل جدا وأحيانا يعطي كوبونات خصم,positive
قال حسيتو تضايق من صعصغغغعععععععععغ في عدد غغغفغععه,neutral
لايوجد مصداقيه واسعار مبالغ فيها وتاخير وطلب غير نظيف والفلوس ياخذونها واذا صار مشكله لاترجع والدليل الغاء خدمة الاتصال الهاتفيه اذا عندك مشكله يردون عليك بالمحادثه وطريقت الوصول لها معقده واخر شي الموظف يقول اتصل علي المطعم ومايرد وانا اتصل علي المطعم يرد علي اخر شي يقول نرجع لك المبلغ كاش ١٢.٤٠٠ من تاريخ ٢٨ / ٨ الي اليوم لم يتواصل معي احد واراسلهم علي الايميل يرسلون نفس الرساله متأسفين وسوف نحل المشكله وبالنهايه خذووو الفلوس والاكل غير نظيف والخدمه سيئه والدليل كل التعليقات تقول نفس هالكلام,negative
عطيت فلوس باقي يرجع ماعطاني سرقه,negative
جيد ولكن الطلب يتأخر عده مرات,neutral
نصبين وبستغلو الكباتن,negative
افضل شركة,positive
اسوء ابلكيشن علي الإطلاق ولو البرنامج والقائمين عليه عندهم الجراءه يكلموني يكلموني بس مفيش نصاب بيرد علي الفريسه بعد ما ينصب عليها,negative
للأسف تطبيق فاشل وطلبت اول مره صار ساعه ونص كلشي ماكو..,negative
ضحكو على الشوفريه,negative
سيئ ضحكو على الشوفريه يالسياره,negative
برنامج سئ للغايه طلبت اوردر توصيل مجاني اتفاجأت ان ضايف ٣٦ جنيه توصيل وطلبت طلبات من طلبات مارت جابلي الاوردر مختلف خالص ومش بيلغو الاوردر رغم انه الغلط من عندهم,negative
ج ١,negative
كيف يمكن استرداد القسائم المنتهية,positive
للأسف تم تحميل البرنامج لأول مره وتم طلب اول مواد وتم إحضار المواد على الوقت ولكن للأسف غير الجوده العاديه وتم اطعامها للعصافير حيث قام احد المندوبين بالتواصل معي وعن وجود أي ملاحظات...وقمت بأخباره عن سوء جودة المنتج ..وكان جوابه فقط الاعتذار...لذلك لم يتم نجاح التطبيق في السعودية قبل عشر سنوات وفشل فشل ذريع عكس تطبيق جاهز خلال سنتين كان رقم واحد في السعودية من حيث التعامل وجودة المنتج والمصداقية.. وخدمة ما بعد البيع..,negative
ننا,negative
برنامج فاشل جدددددا,negative
ضريب,neutral
سيئ,negative
كان بل اول جميل لاكن صرتو تحطو ضريبه وتغلو الاسعار اكثر وبطلتو تنزلو قسائم خصومات وفوق كل هاذ رح اقيمكو نجمه عشان الحركه الي عملتوها مع عمال التوصيل تاعت السيارات خليتوهم يصلحو ويعبو بنزين على حساب تعبهن وما اعطيتوهم السياره❎❎❎ تطبيق سيئ زربه زباله,negative
"البحث عن الوجبة في التطبيق اصبح اصعب، التطبيق حاليا يقترح مطاعم لا تحتوي على الوجبة المطلوبة اصلا",neutral
مافيه الا مطعم واحد والله تطبيق نكته ..,negative
سي جدا تم دن افضل,negative
خانة الخصومات غير موجودة اجدها احيانا وغالبا غائبا ويقولون ان عندي كوبونات لكن الخانة مختفية ارجو اصلاح هذه المشكلة,negative
تمام,positive
مبلغ التوصيل معادل مبلغ الاوردر ازاي,negative
الاسعار مبالغ بها,negative
افضل تطبيق بالعالم دام الدون سوا اعلان,positive
استغلال رفع الاسعار اكثر من بره,negative
افضل تطبيق,positive
مخادعين ضحكو على الدرايفر بالسياره حسبي الله فيكم,negative
الأبلكيشن موصلني بدليفري أوردر تاني خالص ومتأخر عن المعاد ساعة ونص.,negative
التوصيل جدا غالي الضريبه الاضافيه على المبلغ بالاضافه الى ان الاصناف اغلى من سعرها للاسف تجربه سيئه,negative
في البداية كان تطبيق رائعا حيث كان التوصيل مجاني و سريع ايضا لكن الآن أصبح بطيئا و التوصيل ليس مجاني و المندوبين الشباب يتحرشون بل فتياة البيت عند الاتصال نعم ارجو ان تراقبو المندوبين الذين ترسلونهم إلى بيوت العالم,negative
عدم احترام وقت توصيل الطلب وبعد الوقت المقدر لتوصيل الطعام 40 دقيقه وبعد انتهاء الوقت تفاجئنا بتمديد الوقت الى ساعتين وعند التواصل معاهم عن طريق الدردشه ماأخذنا منهم غير الكلام الحلو الي لابقدم ولا بأخر المشكله ... هذا ثاني مره اتعرض لنفس المشكله معاهم ولا في حل للشكوى وعندما طلبت التواصل مع الاداره افادوا بأنهم سيتواصلون بعد 60 دقيقه معاي ... الظاهر مشغولين من كثرة الشكاوي هههههه,negative
تطبيق مزعج بكثرة اعلاناته الغبية في كل مكان,negative
زباااله,negative
تطبيق روعه شكرا طلبات,positive
سييييييييء,negative
صاير تطبيق فاشل,negative
تعرضت للكثير من النقص بالطلبات و اغلب الوقت يتم الغاء الطلبات لعدم تمكن التطبيق من الالتزام بالمصداقية مع العملاء,negative
"اسوء تجربة مع هذا التطبيق، لعدم وجود مصداقية في الالتزام بالوقت، حيث يقوم التطبيق ببيان الوقت المحدد لتوصيل التطلب، وبعد اتمام عملية الطلب يتم مضاعفة وقت التوصيل. ان عدم الالتزام بالوقت، وتضييع وقت المتعامل مع التطبيق لهو من اسوء الامور التي تجعل مستخدم التطبيق لا يثق بتاتاً به.",negative
لدى مطعم تجهيز فى المنزل اريد التواصل معكم,neutral
زفت,negative
افضل برنامج لتوصيل الطعام في العراق من كل النواحي,positive
طلبات كريستيانو رونالدو كذب😂👎💔,negative
Sincerity of Fatima Zahra,positive
هين قرشك ولا تهين نفسك...ياليت تلغو الخدمه تبع الاستلام لان التعامل سئ جداً مع المطاعم لما تجي تستلم طلبك.. يعاملك كانك خادم عند ابوه..وعلى أيش على 300 بيسه توفير. (افضلي اطلب مباشرة من المطعم).,negative
مرتب,positive
سيء جدا جدا لايوصل إلى جمي الأماكن في الدولة اتمنا حل المشكلة,negative
تطبيق سيىئ جدا تأخير بشكل كبير اسعار غاليه جدا بعملك التوصيل مجاني او بسعر رمزي وبكون رافع سعر الوجبات بشكل مش طبيعي,negative
تطبيق زبالة تم طلب وخصم المبلغ في الاخير تم الغاء الطلب من قبل المطعم بدون سبب واضح ولم يسترد المبلغ للان 👎👎👎👎👎👎,negative
التطبيق والخدمة أصبحت سيئة جدا للأسف,negative
زفت يا نصابين,negative
غير مناسب,negative
برنامج ظالم ونصاب,positive
التطبيق سي ولا يعمل,negative
غير متوفر في جميع المتاجر,negative
مع الشباب الاردني,negative
ممناز,positive
تطبيق فاااااشل مادييين وغشاشين وواستغلالييين الطلب اصلا زايدين ع سعرو وبتاخدو رسوظ خدمه وضريبه مبيعات وتوصيل ول عليكم جوعانين انتو وهي رح اشطب التطبيق لاني بطلت استفيد منو,negative
من سيئ لاسوء طلبي ٢.٥٠ بصير ٤ دنانير ليس رسوم خدمة ورسوم ضريبة ورسوم توصيل !!!!!!,negative
ليه غيرتو اللغه شايفنا اجانب,negative
ضض١ص٣ضصصصشك,positive
سيتم حذفه حتى اعطاء الشباب حقوقهم,negative
ممتاز جدا وبشكركم عل هتمام,positive
تطبيق سيئ,negative
سيء جدا,negative
غير صادقين مع السائقين,negative
سيء شركة طلبات فرع الاردن نصابة,negative
"تطبيق فاشل، يفتقر للأمانه 👍.",negative
تطبيق فاشل وسئ للغايه,negative
سيء جدا وما في مصداقيه,negative
شركة احتياليه,negative
صراحة طلبات شي رائع ومريح جدا وفي اي وقت تطلب اللي على بالك . بالتوفيق يا رب وإن شاء الله تطور التطبيق اكثر ويصبح في كل المجالات,positive
شرمة نصب وحتيال,negative
كل شوية يقفل لوحده,negative
كانت جيده اصبحت احتيال ونصب شهر كامل واكثر وانا اعاني من استخدام رصيد طلبات لاكن اي طلب اخر من طلبات لا حياه لمن تنادي اطالب جميع الاردنيين بشطب التطبيق واستعمال تطبيق اردني اخر انهم نصابين وحراميه وكذابين متميزون بلكذب والكلام العسول علينا نحن الاردنيين ان نشتعمل تطبيق اخر اردني الصنع ونشطب طلبات ونودعه اله بلده نصابين,negative
ممتازه,positive
تطبيق سيئ ونصابين,negative
سيء,negative
تطبيق سيء كلنا معاً لأفشال هذا التطبيق بسبب عدم احترامكم لحقوق الموظفين,negative
مقاطع,negative
هنجر ستيشن افضل من وجهة نظري .,negative
تاني مرة يحصل غلط في الاوردر ومش لاقية رقم للتواصل,neutral
تجربة سيئة جدا لا انصح به بشده لايحترم الزبائن ولا الموظفين,negative
اسوء ططبيق,negative
بخزي🤮 طلبات🤮,negative
خايس,negative
سيارات الموظفين,negative
شركة سيئة بعد ما وعدت سائقيها بتملك السيارة بعد ثلاث سنوات ولم تفي بوعدها ونفت ذلك شركة استغلاليه و يتم خصم ثمن الطلب اكثر من المطلوب,negative
تضامنا مع السائقين اللي نصبو عليهم الشركة الهاملة,negative
حرام عليكم تضحكو على الشباب وتستغلو قدراتهم ومجهودهم وبالاخر تقولو الهم مالكو اشي لاكن عند الله مابروح حق,negative
طلبات وصلولي طلب بالغلط وطلب قديم كانه معموله من ٣ ايام ولما اتصلت على خدمة العملاء قلت لهم هذا ليس طلبي قالوا مانقدر نسويلك شي تواصل على لايف شات ولايف شات متوقف.. يحطون العميل بمتاهات وتروح عليه فلوسه وهذا اللي حصل معي جاري حذف التطبيق,negative
سيئ جدا,negative
لا استطيع تحميل التطبيق.. أحاول أن أحمل التطبيق من أيام لكن من دون اي جدوى,positive
برنامج ممتاز ومفيد,positive
شركة نصابة لا تستحق الاحترام .............................................................................................................................................................................,negative
سئ جدا ولا يتم محاسبة الكباتن بشكل عادل,negative
مع السائق,negative
سيء جدا لانكم نصابين رجعو حقوق الموظفين #مقاطعة_تطبيق_طلبات,negative
لم تلتزم الشركة بإعطاء العمال السيارة بعد ٣ سنوات كما وعدتهم سابقا,negative
سيئ جدا لانو بعد فترة قامو بحظري,negative
تطبيق فاشل وبكل مقاييس المهنه,negative
زباله,negative
تطبيق سيئ جدا ...واسعار وعروض مخادعه,negative
سيئ جدا والكباتن مظلومة مع هيك تطبيق,negative
تطبيق فاشل وغير ملتزم في قوانين وزارة التجاره من حيث تسعيرة التوصيل وتلاعب في الاسعار بالاتفاق مع المطاعم واذا اخطئو بالطلب يضيع حقك وفلوسك وعدم اهتمام بالزبائن والموضفين القائمين علي الدعم والمساعده بالتطبيق يسعون الا افشال التطبيق بحجج واهيه وغير مقنعه وتظيع المبالغ وعدم المساعدة في ارجاعها او مطالبة المطعم في اكمال الناقص من الطعام انصح بعدم تحميل التطبيق ولي ضمان وصول طلبك كامل وساخن اطلب من المطعم مباشره,negative
قال شو بعمللك عروض خصم وهو ماخذهن منك مدوبلات خصم شو هذا الوجبه السوبر ثمنها دينارين ونص وعندكم ثلاث 75 ودينار توصيل اربعه و 75 وين الخصم في الموضوع تسمع بالمثل اللي بحكي مطرح ما💩💩 شنقوه,negative
اسوء تطبيق سسسسييييييييءءءؤؤؤؤ,negative
للأسف الأسعار أغلى من المطعم بكثير,negative
طتبيق سيء قد ارسلي منتجي مسكوبا,negative
نصب واحتيال,negative
طبنصي😄😄😂😴😈,positive
كله كذب بكذب,negative
👎🏻👎🏻👎🏻👎🏻👎🏻,negative
غير مناسب اسعار اغلى عن المعروض,negative
"كتير حلو التطبيق ، بس ما في قسام كل تلات سنين تعطوني وحده ؟",positive
سيئ وكان في اغراض ناقصه ما قدرنا نتواصل معهم,negative
لا انصح بتحميل البرنامج,negative
غير صريح مع الزبون,negative
فخميين,positive
حتى نجمة ما بستاهل بضحكو على بالتوصيل المجاني وبزيدو الضرائب وغير هيك بسحبو من الفيزا بدون ما يتأكد الطلب 🙂,negative
للاسف الربح المادي يبدو أنه المتحكم الوحيد بالشركات... ومن باب أولى كسب الموظفين,negative
تطبيق زبااااالة ونصابين,negative
شركة نصابة,negative
مقاطعة طلبات حتى ترجع للشباب حقوقهم,negative
استغلال الموظفين نصب لا يسكت عنو,negative
أعطوا حق الناس 😡,negative
بطول ليبين انه اخذ الطلب,negative
سيئين جدا,negative
سيء للغاية,negative
خدمه سيئه,negative
سيء بدنا سياره,negative
مقاطعة طلبات,negative
سي جدا لا انصح بتحميله,negative
مع السائقين,negative
رجعو للناس حقوقهم,negative
يجب ان تكونوا صادقين مع العاملين لديكم,negative
لا يستحق حتى نصف نجمة,negative
سوء معامله وعدم احترام وتطبيق لا يعمل بالشكل الجيد وأسعار عاليه وعدم دقه في المواعيد وخدمة عملاء سيئه جدا وعدم استجابه وعدم حل المشاكل,negative
أنا زبون عندكم تقريبا من اول ما فتحتم لاكن تضحكو على شباب التوصيل ما رح نكون شركاء معكم لهيك نجمه ولو في اقل حطينا ما رح نرجع نستخدم تطبيقكم,negative
طلبات الاردن يأكلون حقوق ابناء الاردن المكافحين الذين وقفو معهم يداً بيد بالأيام المرة قبل الحلوة شركة نصب واستخفاف بعقول الشباب الشغيلين عندهم,negative
ضروري تخربوا سمعتكم وتنصبوا على العمال؟,negative
تطبيق زفت وشركه كاذبه,negative
هه,negative
جدا سيء,negative
غير منصفه واسعار غير حقيقيه,negative
نصبه ع الموظفين الي بيشتغله معهم قاطعوهم,negative
حسبي الله ونعم الوكيل,negative
تطبيق سيء لا انصح باستخدامه,negative
نصابين,negative
سئ جدا,negative
سيء جدا .. نصب وكذب ودجل,negative
تطبيق جدآ ممتاز 🥰,positive
لماذا تم استغلال الموظفين لديكم وعدم الايفاء في وعدكم اتجاهم,negative
الموقع أحيانآ مايعمل,negative
😡,negative
شىكة نصب واحتيال ‏شركة طلبات في الأردن وعدت الموظفين اذا اشتغلوا معهم ٣ سنين رح تكون سيارات التوصيل الهم وقبل ما تخلص ال٣ سنين بأشهر طردوهم بحجة الأداء السيء علما بأنه راتب الموظفين كان 260 دينار وكان بنزين السيارة وتصليحها عالموظف لازم نقاطع الشركة لحد ما يرجعوا للموظفين حقوقهم ‎#مقاطعة_طلبات,negative
لعيون صاحبي الي ناويين تاكلوا حقه بعد سنة و 3 شهور,negative
اعطوا الشباب حقوقهم,negative
انصفوا عمالكم ولا تظلموا أحد,negative
تطبيق فاشل قام ب استغلال الشباب من قبل الإدارة السيئة,negative
شركه نصابه تقوم بالنصب على الكباتن بوهمهم بتسجيل السياره باسمهم بعد ثلاث سنوات وتقوم باعطائهم راتب رمزي وبعد ثلاث سنوات تقوم بنقض الأتفاق,negative
نصرة للمظلومين اللي خدعتوهم,negative
الاكل بصل بارد وماكول نصو,negative
أعطوا الناس حقوقها بلاش ربنا يسخطكوا,negative
افشل تطبيق,negative
سيئ جدآ جدآ,negative
نصااااابيييييين,negative
نصابين .. سعر السلعة على طلبات أعلى من سعرها المعروف .. تعاملهم سيء مع الموظفين,negative
يجب مقاطعه هذا البرنامج فى اسرع وقت بسبب معاملتهم السيئه مع موظفينهم وعدم اعطاهم حقوقهم وظلمهم الله يعوض هاولاء المساكين بوظيفة افضل من هذه الشركه النصابه,negative
مع المقاطعة,negative
التعامل ممتاز والوصول كان على الموعد شكرًا لكم,positive
تجربة سيئة تم الحدف,negative
تجربه سيئه وموظفين توصيل بلطجيه وأسلوب سيء بالتعامل نصابين احذروا من التعامل معهم انا نصبوا علي بمبلغ 165 دينار وتم حظر حسابي احذروا منهم,negative
يجب ان تلتزمو مع سائقي التطبيق الذين هم اساس شركتكم وتعوضوهم عن خسائرهم واعطائهم السيارات التي وعدتموهم بها منذ البدايه,negative
الشركه طلبات شركه محتالة,negative
برنامج رائع ومعامله رائعه من قبل الخدمه والتوصيل وكادر البرنامج,positive
تم حذف التطبيق وتقييمه بنجمة لعدم منح السائقين حقوقهم,negative
تاخر الطلب كثير,negative
نصب حرام,negative
#قاطعوا تطبيق #طلبات ما تشاركوا بظلم الشباب الطموحين كان هدفهم يوفروا قوت يومهم بكل الطرق !!!! فوق القلة والبطالة والفقر والظلم كمان #كذب واستغلال لحاجة الشباب والتجبر عليهم وأكل حقوقهم !!!!! ما بعرف لوين واصلين #بهالغابة بس ما بقول الا يارب لطفك بهالشعب !!!,negative
سيئ جدا جدا,negative
Talabat jordan promised the employees with a free car after 3 years of working but instead it fired the employees for no reason and didn't give them the car they agreed on.,negative
ممتاز التطبيق,negative
